codigo;natureza
2551;Compra de bem para o ativo imobilizado
2552;Transferência de bem do ativo imobilizad
2553;Devolução de venda de bem do ativo imobi
2554;Retorno de bem do ativo imobilizado reme
2555;Entrada de bem do ativo imobilizado de t
2556;Compra de material para uso ou consumo
2557;Transferência de material para uso ou co
2603;Ressarcimento de ICMS retido por substit
2651;Compra de combustível ou lubrificante pa
2652;Compra de combustível ou lubrificante pa
2653;Compra de combustível ou lubrificante po
2658;Transferência de combustível e lubrifica
2659;Transferência de combustível e lubrifica
2660;Devolução de venda de combustível ou lub
2661;Devolução de venda de combustível ou lub
2662;Devolução de venda de combustível ou lub
2663;Entrada de combustível ou lubrificante p
2664;Retorno de combustível ou lubrificante r
2901;Entrada para industrialização por encome
2902;Retorno de mercadoria remetida para indu
2903;Entrada de mercadoria remetida para indu
2904;Retorno de remessa para venda fora do es
2905;Entrada de mercadoria recebida para depó
2906;Retorno de mercadoria remetida para depó
2907;Retorno simbólico de mercadoria remetida
2908;Entrada de bem por conta de contrato de
2909;Retorno de bem remetido por conta de con
2910;Entrada de bonificação, doação ou brinde
2911;Entrada de amostra grátis
2912;Entrada de mercadoria ou bem recebido pa
2913;Retorno de mercadoria ou bem remetido pa
2914;Retorno de mercadoria ou bem remetido pa
2915;Entrada de mercadoria ou bem recebido pa
2916;Retorno de mercadoria ou bem remetido pa
2917;Entrada de mercadoria recebida em consig
2918;Devolução de mercadoria remetida em cons
2919;Devolução simbólica de mercadoria vendid
2920;Entrada de vasilhame ou sacaria
2921;Retorno de vasilhame ou sacaria
2922;Lançamento efetuado a título de simples
2923;Entrada de mercadoria recebida do vended
2924;Entrada para industrialização por conta
2925;Retorno de mercadoria remetida para indu
2932;Aquisição de serviço de transporte inici
2933;Aquisição de serviço tributado pelo ISSQ
2949;Outra entrada de mercadoria ou prestação
3000;ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DO EX
3101;Compra para industrialização
3102;Compra para comercialização
3126;Compra para utilização na prestação de s
3127;Compra para industrialização sob o regim
3201;Devolução de venda de produção do estabe
3202;Devolução de venda de mercadoria adquiri
3205;Anulação de valor relativo à prestação d
3206;Anulação de valor relativo à prestação d
3207;Anulação de valor relativo à venda de en
3211;Devolução de venda de produção do estabe
3251;Compra de energia elétrica para distribu
3301;Aquisição de serviço de comunicação para
3351;Aquisição de serviço de transporte para
3352;Aquisição de serviço de transporte por e
3353;Aquisição de serviço de transporte por e
3354;Aquisição de serviço de transporte por e
3355;Aquisição de serviço de transporte por e
3356;Aquisição de serviço de transporte por e
3503;Devolução de mercadoria exportada que te
3551;Compra de bem para o ativo imobilizado
3553;Devolução de venda de bem do ativo imobi
3556;Compra de material para uso ou consumo
3651;Compra de combustível ou lubrificante pa
3652;Compra de combustível ou lubrificante pa
3653;Compra de combustível ou lubrificante po
3930;Lançamento efetuado a título de entrada
3949;Outra entrada de mercadoria ou prestação
5000;SAÍDAS OU PRESTAÇÕES DE SERVIÇOS PARA O
5101;Venda de produção do estabelecimento
5102;Venda de mercadoria adquirida ou recebid
5103;Venda de produção do estabelecimento, ef
5104;Venda de mercadoria adquirida ou recebid
5105;Venda de produção do estabelecimento que
5106;Venda de mercadoria adquirida ou recebid
5109;Venda de produção do estabelecimento, de
5110;Venda de mercadoria adquirida ou recebid
5111;Venda de produção do estabelecimento rem
5112;Venda de mercadoria adquirida ou recebid
5113;Venda de produção do estabelecimento rem
5114;Venda de mercadoria adquirida ou recebid
5115;Venda de mercadoria adquirida ou recebid
5116;Venda de produção do estabelecimento ori
5117;Venda de mercadoria adquirida ou recebid
5118;Venda de produção do estabelecimento ent
5119;Venda de mercadoria adquirida ou recebid
5120;Venda de mercadoria adquirida ou recebid
5122;Venda de produção do estabelecimento rem
5123;Venda de mercadoria adquirida ou recebid
5124;Industrialização efetuada para outra emp
5125;Industrialização efetuada para outra emp
5151;Transferência de produção do estabelecim
5152;Transferência de mercadoria adquirida ou
5153;Transferência de energia elétrica
5155;Transferência de produção do estabelecim
5156;Transferência de mercadoria adquirida ou
5201;Devolução de compra para industrializaçã
5202;Devolução de compra para comercialização
5205;Anulação de valor relativo a aquisição d
5206;Anulação de valor relativo a aquisição d
5207;Anulação de valor relativo à compra de e
5208;Devolução de mercadoria recebida em tran
5209;Devolução de mercadoria recebida em tran
5210;Devolução de compra para utilização na p
5251;Venda de energia elétrica para distribui
5252;Venda de energia elétrica para estabelec
5253;Venda de energia elétrica para estabelec
5254;Venda de energia elétrica para estabelec
5255;Venda de energia elétrica para estabelec
5256;Venda de energia elétrica para estabelec
5257;Venda de energia elétrica para consumo p
5258;Venda de energia elétrica a não contribu
5301;Prestação de serviço de comunicação para
5302;Prestação de serviço de comunicação a es
5303;Prestação de serviço de comunicação a es
5304;Prestação de serviço de comunicação a es
5305;Prestação de serviço de comunicação a es
5306;Prestação de serviço de comunicação a es
5307;Prestação de serviço de comunicação a nã
5351;Prestação de serviço de transporte para
5352;Prestação de serviço de transporte a est
5353;Prestação de serviço de transporte a est
5354;Prestação de serviço de transporte a est
5355;Prestação de serviço de transporte a est
5356;Prestação de serviço de transporte a est
5357;Prestação de serviço de transporte a não
5359;Prestação de serviço de transporte a con
5401;Venda de produção do estabelecimento em
5402;Venda de produção do estabelecimento de
5403;Venda de mercadoria adquirida ou recebid
5405;Venda de mercadoria adquirida ou recebid
5408;Transferência de produção do estabelecim
5409;Transferência de mercadoria adquirida ou
5410;Devolução de compra para industrializaçã
5411;Devolução de compra para comercialização
5412;Devolução de bem do ativo imobilizado, e
5413;Devolução de mercadoria destinada ao uso
5414;Remessa de produção do estabelecimento p
5415;Remessa de mercadoria adquirida ou receb
5451;Remessa de animal e de insumo para estab
5501;Remessa de produção do estabelecimento,
5502;Remessa de mercadoria adquirida ou receb
5503;Devolução de mercadoria recebida com fim
5551;Venda de bem do ativo imobilizado
5552;Transferência de bem do ativo imobilizad
5553;Devolução de compra de bem para o ativo
5554;Remessa de bem do ativo imobilizado para
5555;Devolução de bem do ativo imobilizado de
5556;Devolução de compra de material de uso o
5557;Transferência de material de uso ou cons
5601;Transferência de crédito de ICMS acumula
5602;Transferência de saldo credor de ICMS pa
5603;Ressarcimento de ICMS retido por substit
5605;Transferência de saldo devedor de ICMS d
5651;Venda de combustível ou lubrificante de
5652;Venda de combustível ou lubrificante de
5653;Venda de combustível ou lubrificante de
5654;Venda de combustível ou lubrificante adq
5655;Venda de combustível ou lubrificante adq
5657;Remessa de combustível ou lubrificante a
5658;Transferência de combustível ou lubrific
5659;Transferência de combustível ou lubrific
5660;Devolução de compra de combustível ou lu
5661;Devolução de compra de combustível ou lu
5662;Devolução de compra de combustível ou lu
5663;Remessa para armazenagem de combustível
5664;Retorno de combustível ou lubrificante r
5665;Retorno simbólico de combustível ou lubr
5656;Venda de combustível ou lubrificante adq
5901;Remessa para industrialização por encome
5903;Retorno de mercadoria recebida para indu
5904;Remessa para venda fora do estabelecimen
5905;Remessa para depósito fechado ou armazém
5906;Retorno de mercadoria depositada em depó
5907;Retorno simbólico de mercadoria deposita
5908;Remessa de bem por conta de contrato de
5909;Retorno de bem recebido por conta de con
5910;Remessa em bonificação, doação ou brinde
5911;Remessa de amostra grátis
5912;Remessa de mercadoria ou bem para demons
5913;Retorno de mercadoria ou bem recebido pa
5914;Remessa de mercadoria ou bem para exposi
5666;Remessa por conta e ordem de terceiros d
5915;Remessa de mercadoria ou bem para conser
5916;Retorno de mercadoria ou bem recebido pa
5917;Remessa de mercadoria em consignação mer
5918;Devolução de mercadoria recebida em cons
5919;Devolução simbólica de mercadoria vendid
5920;Remessa de vasilhame ou sacaria
5921;Devolução de vasilhame ou sacaria
5922;Lançamento efetuado a título de simples
5923;Remessa de mercadoria por conta e ordem
5924;Remessa para industrialização por conta
5925;Retorno de mercadoria recebida para indu
5926;Lançamento efetuado a título de reclassi
5927;Lançamento efetuado a título de baixa de
5928;Lançamento efetuado a título de baixa de
5929;Lançamento efetuado em decorrência de em
5932;Prestação de serviço de transporte inici
5933;Prestação de serviço tributado pelo ISSQ
5949;Outra saída de mercadoria ou prestação d
6000;SAÍDAS OU PRESTAÇÕES DE SERVIÇOS PARA OU
6101;Venda de produção do estabelecimento
6102;Venda de mercadoria adquirida ou recebid
6103;Venda de produção do estabelecimento, ef
6104;Venda de mercadoria adquirida ou recebid
6105;Venda de produção do estabelecimento que
6106;Venda de mercadoria adquirida ou recebid
6107;Venda de produção do estabelecimento, de
6108;Venda de mercadoria adquirida ou recebid
6109;Venda de produção do estabelecimento, de
6110;Venda de mercadoria adquirida ou recebid
6111;Venda de produção do estabelecimento rem
6112;Venda de mercadoria adquirida ou recebid
6113;Venda de produção do estabelecimento rem
6114;Venda de mercadoria adquirida ou recebid
6115;Venda de mercadoria adquirida ou recebid
6116;Venda de produção do estabelecimento ori
6117;Venda de mercadoria adquirida ou recebid
6118;Venda de produção do estabelecimento ent
6119;Venda de mercadoria adquirida ou recebid
6120;Venda de mercadoria adquirida ou recebid
6122;Venda de produção do estabelecimento rem
6123;Venda de mercadoria adquirida ou recebid
6124;Industrialização efetuada para outra emp
6125;Industrialização efetuada para outra emp
6151;Transferência de produção do estabelecim
6152;Transferência de mercadoria adquirida ou
6153;Transferência de energia elétrica
6155;Transferência de produção do estabelecim
6156;Transferência de mercadoria adquirida ou
6201;Devolução de compra para industrializaçã
6202;Devolução de compra para comercialização
6205;Anulação de valor relativo a aquisição d
6206;Anulação de valor relativo a aquisição d
6207;Anulação de valor relativo à compra de e
6208;Devolução de mercadoria recebida em tran
6209;Devolução de mercadoria recebida em tran
6210;Devolução de compra para utilização na p
6251;Venda de energia elétrica para distribui
6252;Venda de energia elétrica para estabelec
6253;Venda de energia elétrica para estabelec
6254;Venda de energia elétrica para estabelec
6255;Venda de energia elétrica para estabelec
6256;Venda de energia elétrica para estabelec
6257;Venda de energia elétrica para consumo p
6258;Venda de energia elétrica a não contribu
6301;Prestação de serviço de comunicação para
6302;Prestação de serviço de comunicação a es
6303;Prestação de serviço de comunicação a es
6304;Prestação de serviço de comunicação a es
6305;Prestação de serviço de comunicação a es
6306;Prestação de serviço de comunicação a es
6307;Prestação de serviço de comunicação a nã
6351;Prestação de serviço de transporte para
6352;Prestação de serviço de transporte a est
6353;Prestação de serviço de transporte a est
6354;Prestação de serviço de transporte a est
6355;Prestação de serviço de transporte a est
6356;Prestação de serviço de transporte a est
